H,HP,セーブ,ボーク,三振,勝利,勝率,名前,四球,失点,安打,完封勝,完投,年度,所属球団,打者,投球回,敗北,暴投,本塁打,死球,無四球,登板,自責点,防御率
0,0,0,0,67,4,.364,玉村　昇悟,40,47,95,0,0,2021,広島東洋,432,101,7,0,13,1,0,17,43,3.83
0,0,0,0,11,0,.000,遠藤　淳志,6,6,9,0,0,2021,広島東洋,36,6,0,0,2,1,0,2,5,6.75
0,0,0,0,6,0,.000,中村　祐太,5,17,21,0,0,2021,広島東洋,65,13,3,0,3,0,0,3,16,11.08
0,0,0,0,7,0,.000,Ｔ．スコット,8,14,17,0,0,2020,広島東洋,49,8,3,0,1,1,0,7,14,15.75
1,2,0,0,5,1,.333,Ｇ．フランスア,5,6,9,0,0,2021,広島東洋,31,5,2,0,1,0,0,8,6,9.53
10,11,0,0,79,1,.333,Ｒ．コルニエル,28,31,56,0,0,2021,広島東洋,269,61,2,1,8,3,0,50,26,3.82
0,0,0,0,2,0,.000,Ｄ．ネバラスカス,5,3,3,0,0,2021,広島東洋,15,2,1,1,0,0,0,1,3,10.13
0,0,0,0,13,0,.000,戸田　隆矢,9,11,22,0,0,2018,広島東洋,82,17,0,0,3,0,0,7,10,5.19
0,0,0,1,91,9,.692,奥川　恭伸,10,38,99,0,0,2021,東京ヤクルト,413,105,4,3,11,2,0,18,38,3.26
9,9,10,1,64,0,.000,石山　泰稚,10,23,54,0,0,2021,東京ヤクルト,226,55,5,1,6,0,0,58,22,3.60
0,0,0,0,56,4,.800,高梨　裕稔,15,28,62,0,0,2021,東京ヤクルト,264,62,1,1,11,3,0,12,25,3.63
0,0,0,0,4,0,.000,Ｒ．バンデンハーク,2,8,11,0,0,2021,東京ヤクルト,28,4,1,0,2,1,0,2,8,15.43
0,0,0,0,25,3,.750,原　樹理,12,14,45,0,0,2021,東京ヤクルト,198,47,1,1,0,4,0,9,12,2.30
50,53,1,1,74,3,.333,清水　昇,18,23,55,0,0,2021,東京ヤクルト,272,67,6,2,12,2,0,72,18,2.39
0,0,0,0,0,0,.000,寺島　成輝,0,1,5,0,0,2021,東京ヤクルト,10,2,0,0,0,0,0,1,1,4.50
0,0,0,0,54,4,.444,石川　雅規,16,31,81,0,1,2021,東京ヤクルト,335,82,5,1,10,3,1,17,28,3.07
0,0,0,0,3,0,.000,山野　太一,2,7,5,0,0,2021,東京ヤクルト,12,1,0,0,0,1,0,1,7,47.25
7,7,1,0,28,0,.000,星　知弥,11,14,23,0,0,2021,東京ヤクルト,108,24,0,0,2,0,0,25,13,4.81
7,8,0,0,25,1,.333,坂本　光士郎,17,17,29,0,0,2021,東京ヤクルト,148,33,2,2,4,3,0,36,15,4.05
0,1,0,0,26,1,.500,吉田　大喜,12,17,31,0,0,2021,東京ヤクルト,111,23,1,3,5,0,0,16,16,6.17
0,0,0,0,97,9,.600,小川　泰弘,30,64,132,1,2,2021,東京ヤクルト,529,128,6,2,15,1,2,23,59,4.14
4,5,0,0,81,5,.357,田口　麗斗,28,59,126,0,0,2021,東京ヤクルト,449,100,9,1,10,2,0,33,45,4.02
0,0,0,0,4,0,.000,杉山　晃基,2,7,9,0,0,2021,東京ヤクルト,30,6,0,0,2,1,0,4,7,9.95
14,17,31,0,76,3,.600,Ｓ．マクガフ,23,19,43,0,0,2021,東京ヤクルト,259,64,2,3,7,3,0,66,18,2.52
8,8,0,0,29,0,.000,梅野　雄吾,9,7,22,0,0,2021,東京ヤクルト,106,25,0,1,4,2,0,29,7,2.49
3,4,1,0,70,5,.625,Ａ．スアレス,32,32,82,0,0,2021,東京ヤクルト,339,77,3,1,9,5,0,24,31,3.62
7,10,0,0,24,3,1.000,大西　広樹,12,12,36,0,0,2021,東京ヤクルト,159,38,0,3,4,2,0,33,12,2.82
0,1,0,1,80,4,.800,高橋　奎二,25,25,59,0,0,2021,東京ヤクルト,320,78,1,4,9,6,0,14,25,2.87
0,1,0,0,34,4,.800,金久保　優斗,16,14,39,0,0,2021,東京ヤクルト,180,42,1,0,3,2,0,10,13,2.74
11,11,0,0,17,0,.000,近藤　弘樹,2,2,15,0,0,2021,東京ヤクルト,67,18,1,0,1,0,0,22,2,0.96
0,1,0,0,3,1,1.000,長谷川　宙輝,3,5,4,0,0,2021,東京ヤクルト,18,3,0,0,2,0,0,4,4,10.80
0,0,0,0,69,6,.750,サイスニード,23,29,60,0,0,2021,東京ヤクルト,279,68,2,0,9,2,0,13,26,3.41
0,0,0,0,15,0,.000,久保　拓眞,5,9,15,0,0,2020,東京ヤクルト,61,13,1,0,1,1,0,10,9,5.93
0,0,0,0,21,1,.333,歳内　宏明,13,17,49,0,0,2020,東京ヤクルト,157,33,2,0,2,1,0,7,16,4.28
0,0,0,1,6,0,.000,中尾　輝,5,5,9,0,0,2020,東京ヤクルト,41,9,0,0,3,0,0,5,5,5.00
1,2,0,0,32,1,1.000,大下　佑馬,8,16,34,0,0,2021,東京ヤクルト,159,38,0,1,5,2,0,30,16,3.72
0,0,0,0,3,0,.000,宮台　康平,4,2,4,0,0,2018,北海道日本ハム,24,4,0,1,0,2,0,1,2,3.86
28,35,0,0,63,7,.875,今野　龍太,25,19,55,0,0,2021,東京ヤクルト,268,62,1,2,1,3,0,64,19,2.76
0,0,0,0,9,0,.000,蔵本　治孝,3,13,26,0,0,2019,東京ヤクルト,63,12,0,0,3,1,0,8,13,9.24
0,0,0,0,0,0,.000,雄平,0,0,1,0,0,2009,東京ヤクルト,4,1,0,0,0,0,0,1,0,0.00
0,0,0,0,2,0,.000,小澤　怜史,1,3,5,0,0,2017,福岡ソフトバンク,12,2,0,0,0,0,0,2,3,13.50
